Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Bishop Eustace,22,9,31,0.7097,1798,1527,8.742,pennsauken-bishop-eustace,Olympic,0.5431,0.5588,0.5484
Jefferson,24,6,30,0.8,1773,1519,8.467,oak-ridge-jefferson,NJAC,0.4747,0.5179,0.4891
DePaul,19,9,28,0.6786,1714,1477,8.464,wayne-depaul,Big North,0.5008,0.5555,0.519
Wayne Valley,21,6,27,0.7778,1398,1170,8.444,wayne-wayne-valley,Big North,0.4999,0.5284,0.5094
Bridgewater-Raritan,18,9,27,0.6667,1608,1381,8.407,bridgewater-bridgewater-raritan,Skyland,0.5208,0.5473,0.5296
Wallkill Valley,18,10,28,0.6429,1772,1538,8.357,hamburg-wallkill-valley,NJAC,0.4676,0.4767,0.4707
Westwood,20,8,28,0.7143,1579,1346,8.321,washington-twp-westwood,Big North,0.5281,0.5074,0.5212
Cedar Creek,17,9,26,0.6538,1470,1254,8.308,egg-harbor-city-cedar-creek,Cape-Atlantic,0.5197,0.5027,0.514
Woodstown,17,12,29,0.5862,1677,1440,8.172,woodstown-woodstown,Tri-County,0.4549,0.4828,0.4642
Deptford,22,7,29,0.7586,1858,1626,8.0,deptford-deptford,Tri-County,0.5065,0.5154,0.5095
Camden,18,11,29,0.6207,1901,1670,7.966,camden-camden,Olympic,0.622,0.5547,0.5996
Mendham,20,9,29,0.6897,1517,1287,7.931,mendham-mendham,NJAC,0.5194,0.5386,0.5258
Shore,21,7,28,0.75,1594,1372,7.929,w-long-branch-shore,Shore,0.444,0.5001,0.4627
Elizabeth,16,11,27,0.5926,1719,1506,7.889,elizabeth-elizabeth,UCC,0.5659,0.5772,0.5696
Lyndhurst,21,10,31,0.6774,2106,1862,7.871,lyndhurst-lyndhurst,NJIC,0.579,0.5158,0.5579
Newark Collegiate,21,8,29,0.7241,1800,1574,7.793,newark-newark-collegiate,SEC,0.5612,0.5594,0.5606
Point Pleasant Beach,21,8,29,0.7241,1704,1478,7.793,pt-pleasant-bch-point-pleasant-beach,Shore,0.5288,0.5134,0.5237
Sayreville,17,11,28,0.6071,1903,1688,7.679,parlin-sayreville,GMC,0.5535,0.545,0.5507
Dwight-Englewood,18,10,28,0.6429,1843,1633,7.5,englewood-dwight-englewood,NJIC,0.5215,0.546,0.5296
Don Bosco Prep,16,13,29,0.5517,1773,1559,7.379,ramsey-don-bosco-prep,Big North,0.6909,0.5865,0.6561
Bound Brook,15,11,26,0.5769,1549,1358,7.346,bound-brook-bound-brook,Skyland,0.4474,0.4922,0.4623
Marlboro,21,6,27,0.7778,1661,1464,7.296,marlboro-marlboro,Shore,0.546,0.5357,0.5426
Cumberland,21,9,30,0.7,1723,1506,7.233,seabrook-cumberland,Tri-County,0.4804,0.4994,0.4867
Johnson,18,8,26,0.6923,1450,1262,7.231,clark-johnson,UCC,0.5177,0.5339,0.5231
Rumson-Fair Haven,21,9,30,0.7,1820,1610,7.0,rumson-rumson-fair-haven,Shore,0.5404,0.5635,0.5481
Middlesex,19,9,28,0.6786,1798,1604,6.929,middlesex-middlesex,GMC,0.4933,0.4864,0.491
Roselle Catholic,22,7,29,0.7586,1892,1693,6.862,roselle-roselle-catholic,UCC,0.6663,0.5977,0.6434
Westampton Tech,23,9,32,0.7188,1785,1567,6.812,westampton-westampton-tech,BCSL,0.5614,0.5158,0.5462
Colonia,21,11,32,0.6562,1817,1599,6.812,colonia-colonia,GMC,0.6355,0.5449,0.6053
Brick Memorial,15,11,26,0.5769,1345,1168,6.808,brick-brick-memorial,Shore,0.4677,0.4855,0.4737
Gloucester,19,9,28,0.6786,1431,1241,6.786,gloucester-city-gloucester,Colonial,0.4533,0.4903,0.4656
Hopewell Valley,18,7,25,0.72,1273,1104,6.76,pennington-hopewell-valley,CVC,0.4819,0.5004,0.4881
Glen Ridge,17,11,28,0.6071,1510,1321,6.75,glen-ridge-glen-ridge,SEC,0.4732,0.5103,0.4856
Red Bank Catholic,20,8,28,0.7143,1596,1410,6.643,red-bank-red-bank-catholic,Shore,0.5927,0.5412,0.5755
Warren Hills,20,6,26,0.7692,1603,1432,6.577,washington-warren-hills,Skyland,0.5127,0.5287,0.518
South Amboy,16,9,25,0.64,1432,1270,6.48,south-amboy-south-amboy,GMC,0.3738,0.4453,0.3976
Ocean Township,19,10,29,0.6552,1592,1407,6.379,oakhurst-ocean-township,Shore,0.5494,0.5079,0.5356
Morris Hills,17,10,27,0.6296,1308,1141,6.185,rockaway-morris-hills,NJAC,0.4629,0.5014,0.4757
Robbinsville,16,10,26,0.6154,1557,1397,6.154,robbinsville-robbinsville,CVC,0.4743,0.5017,0.4834
Nutley,17,10,27,0.6296,1552,1386,6.148,nutley-nutley,SEC,0.4862,0.471,0.4811
Hudson Catholic,16,10,26,0.6154,1469,1312,6.038,jersey-city-hudson-catholic,HCIAL,0.5658,0.5601,0.5639
North Star Academy,15,11,26,0.5769,1417,1261,6.0,newark-north-star-academy,SEC,0.5182,0.516,0.5175
BelovED Charter,14,12,26,0.5385,1330,1176,5.923,jersey-city-beloved-charter,HCIAL,0.4036,0.4781,0.4284
Penns Grove,17,12,29,0.5862,1579,1408,5.897,carneys-point-penns-grove,Tri-County,0.4819,0.4786,0.4808
Linden,19,10,29,0.6552,1698,1527,5.897,linden-linden,UCC,0.6392,0.5816,0.62
Demarest,18,10,28,0.6429,1696,1531,5.893,demarest-demarest,Big North,0.5672,0.5453,0.5599
Wayne Hills,14,14,28,0.5,1586,1424,5.786,wayne-wayne-hills,Big North,0.5544,0.5268,0.5452
North Arlington,18,8,26,0.6923,1444,1294,5.769,north-arlington-north-arlington,NJIC,0.4012,0.4636,0.422
